03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:22:01.114       dream.log  INFO REQ 52 GET /static/images/player_095248.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.114       dream.log  WARN REQ 52 404 in 51 μs
03.01.26 20:22:01.116       dream.log  INFO REQ 40 200 in 4736 μs
03.01.26 20:22:01.117       dream.log  INFO REQ 47 200 in 3519 μs
03.01.26 20:22:01.117       dream.log  INFO REQ 46 200 in 4432 μs
03.01.26 20:22:01.726       dream.log  INFO REQ 53 GET / ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.730       dream.log  INFO REQ 53 200 in 4474 μs
03.01.26 20:22:01.737       dream.log  INFO REQ 54 GET /static/css/styles.css ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.737       dream.log  INFO REQ 55 GET /static/images/player_095533.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.737       dream.log  INFO REQ 56 GET /static/images/team_01.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.738       dream.log  WARN REQ 55 404 in 97 μs
03.01.26 20:22:01.738       dream.log  INFO REQ 54 200 in 296 μs
03.01.26 20:22:01.739       dream.log  INFO REQ 57 GET /static/images/player_095104.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.739       dream.log  INFO REQ 56 200 in 1312 μs
03.01.26 20:22:01.740       dream.log  INFO REQ 57 200 in 1704 μs
03.01.26 20:22:01.745       dream.log  INFO REQ 58 GET /static/images/player_095639.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.745       dream.log  INFO REQ 59 GET /static/images/team_05.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.746       dream.log  WARN REQ 58 404 in 243 μs
03.01.26 20:22:01.746       dream.log  INFO REQ 60 GET /static/images/team_09.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.746       dream.log  INFO REQ 61 GET /static/images/player_095499.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.746       dream.log  INFO REQ 62 GET /static/images/player_095248.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.746       dream.log  INFO REQ 63 GET /static/images/player_095115.png ::1:59162 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.746       dream.log  WARN REQ 61 404 in 62 μs
03.01.26 20:22:01.746       dream.log  WARN REQ 62 404 in 67 μs
03.01.26 20:22:01.746       dream.log  WARN REQ 63 404 in 124 μs
